, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
11/26/2011 20:00,39.537234042553195,860.3573,-820.7572998046875,38.41390977443609,848.6102,-809.0102294921875,35.68918918918919,779.19867,-739.5986694335937,39.6,863.8549,-824.2549194335937
11/26/2011 21:00,39.537234042553195,860.0745,-820.4745239257812,38.41390977443609,849.10657,-809.5065673828125,35.68918918918919,779.4463,-739.8462890625,39.6,863.7257,-824.1257080078125
11/26/2011 22:00,39.537234042553195,859.9609,-820.9608764648438,38.41390977443609,849.39124,-810.3912353515625,34.72972972972973,780.219,-741.218994140625,39.0,863.7551,-824.755126953125
11/26/2011 23:00,39.537234042553195,859.6932,-820.0931762695312,38.41390977443609,849.3759,-809.7759155273437,34.72972972972973,765.08545,-725.48544921875,39.6,856.14545,-816.5454467773437
11/27/2011 0:00,39.537234042553195,860.04834,-820.44833984375,38.41390977443609,849.2664,-809.6664184570312,35.68918918918919,759.1809,-719.580908203125,39.6,860.81866,-821.2186645507812
11/27/2011 1:00,39.537234042553195,859.897,-820.29697265625,38.81428571428572,848.4869,-808.8868774414062,35.68918918918919,772.0809,-732.4808715820312,39.6,862.2995,-822.6994995117187
11/27/2011 2:00,39.537234042553195,859.7856,-820.1855834960937,38.81428571428572,854.0635,-814.4634765625,35.68918918918919,777.77875,-738.1787475585937,39.6,862.7782,-823.1781982421875
11/27/2011 3:00,39.537234042553195,859.57983,-819.979833984375,38.81428571428572,855.0608,-815.460791015625,35.68918918918919,779.66284,-740.062841796875,39.6,862.88135,-823.28134765625
11/27/2011 4:00,39.537234042553195,859.49274,-819.8927368164062,38.81428571428572,854.86383,-815.2638305664062,35.68918918918919,780.0239,-740.42392578125,39.6,862.95306,-823.3530639648437
11/27/2011 5:00,39.537234042553195,859.9039,-820.3038696289062,38.81428571428572,854.60645,-815.0064453125,35.68918918918919,779.2899,-739.6899169921875,39.6,862.69696,-823.0969604492187
